Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
,,00001.758800,D1_24,0.048
,,00001.762240,D1_24,0.035
,,00001.765120,D1_24,0.036
,,00001.765120,D1_42,0.014
,,00001.769120,D1_24,0.03
,,00001.769680,B6_14,0.334
,,00001.771760,D1_24,0.016
,,00001.772080,D1_42,0.028
,,00001.773360,B6_14,0.023
,,00001.773680,D1_33,0.017
,,00001.775040,D1_22,0.01
,,00001.775040,D1_42,0.028
,,00001.777120,D1_24,0.026
,,00001.779360,D1_24,0.053
,,00001.781840,D1_24,0.073
,,00001.783360,D1_42,0.017
,,00001.784160,D1_33,0.013
,,00001.784480,D1_24,0.018
,,00001.787040,D1_24,0.028
,,00001.790800,D1_24,0.016
,,00001.793520,D1_24,0.02
,,00001.799520,D1_24,0.033
,,00001.806640,D1_24,0.033
,,00001.809760,D1_42,0.013
,,00001.813120,D1_24,0.031
,,00001.818320,D1_22,0.012
,,00001.819280,D1_24,0.035
,,00001.829760,D1_42,0.03
,,00001.845600,D1_42,0.017
,,00001.847040,D1_24,0.035
,,00001.849360,D1_33,0.021
,,00001.850000,D1_42,0.036
,,00001.851040,D1_24,0.031
,,00001.851120,D1_22,0.01
,,00001.857520,D1_24,0.033
,,00001.860400,D1_24,0.042
,,00001.860640,D1_33,0.018
,,00001.860960,D1_34,0.016
,,00001.862720,D1_24,0.024
,,00001.869760,D1_24,0.015
,,00001.871040,B6_43,0.025
,,00001.871360,D1_33,0.02
,,00001.874240,D1_24,0.016
,,00001.874480,D1_22,0.013
,,00001.874960,B6_33,0.032
,,00001.877600,B6_33,0.031
,,00001.878480,B6_14,0.036
,,00001.887840,D1_24,0.037
,,00001.890320,D1_24,0.033
,,00001.892720,D1_24,0.024
,,00001.896560,D1_42,0.032
,,00001.896720,B6_14,0.032
,,00001.900320,D1_33,0.014
,,00001.901440,D1_22,0.012
,,00001.904640,B6_14,0.029
,,00001.910080,D1_42,0.031
,,00001.912640,D1_33,0.017
,,00001.921920,D1_42,0.024
,,00001.931600,D1_24,0.04
,,00001.934320,D1_24,0.037
,,00001.938240,D1_24,0.015
,,00001.943520,D1_24,0.012
,,00002.030240,B6_44,0.023
,,00002.056160,B6_44,0.022
,,00002.056640,B6_43,0.024
,,00002.061440,B6_33,0.033
,,00002.075360,D6_44,0.014
,,00002.081200,B6_14,0.385
,,00002.085600,B6_14,0.048
,,00002.088000,C2_11,0.13
,,00002.095360,B6_14,0.034
,,00002.098000,D1_24,0.023
,,00002.102320,D1_24,0.03
,,00002.104720,D1_24,0.052
,,00002.108240,D1_24,0.045
,,00002.111120,D1_24,0.049
,,00002.113360,D1_24,0.051
,,00002.114240,D1_34,0.014
,,00002.114640,D1_33,0.018
,,00002.116160,D1_24,0.066
,,00002.118800,D1_24,0.014
,,00002.148080,D1_31,0.038
,,00002.149440,D1_24,0.017
,,00002.151440,D1_21,0.017
,,00002.154160,D1_24,0.036
,,00002.156400,D1_24,0.022
,,00002.158240,D1_31,0.037
,,00002.159200,D1_24,0.027
,,00002.161520,D1_21,0.022
,,00002.162160,D1_24,0.031
,,00002.165600,D1_24,0.02
,,00002.166400,D1_31,0.036
,,00002.168560,D1_24,0.035
,,00002.169680,D1_21,0.019
,,00002.170400,D1_33,0.016
,,00002.176880,D1_31,0.032
,,00002.180320,D1_21,0.017
,,00002.196000,D1_24,0.039
,,00002.201040,D1_24,0.033
,,00002.204480,D1_24,0.011
,,00002.206880,D1_31,0.034
,,00002.208400,D1_24,0.028
,,00002.210240,D1_21,0.021
,,00002.223840,D1_24,0.037
,,00002.225680,B6_33,0.036
,,00002.228560,B6_34,0.323
,,00002.229600,B6_33,0.043
,,00002.231920,B6_34,0.054
,,00002.233040,D1_24,0.028
,,00002.234560,D3_32,0.022
,,00002.234880,B6_34,0.007
,,00002.236240,D1_24,0.014
,,00002.238000,D3_32,0.013
,,00002.238560,D1_24,0.021
,,00002.245360,D1_31,0.036
,,00002.248720,D1_21,0.014
,,00002.250880,D1_24,0.023
,,00002.256720,D1_24,0.039
,,00002.270000,D1_31,0.032
,,00002.273360,D1_21,0.016
,,00002.294960,D1_24,0.037
,,00002.297680,D1_24,0.037
,,00002.301440,D1_24,0.024
,,00002.304560,D1_24,0.018
,,00002.307520,D1_24,0.039
,,00002.310800,D1_24,0.025
,,00002.312320,D1_33,0.025
,,00002.313040,D1_24,0.033
,,00002.315440,D1_24,0.053
,,00002.317200,B6_33,0.034
,,00002.317680,D1_24,0.205
,,00002.320560,D1_24,0.021
,,00002.324080,B6_14,0.093
,,00002.326400,B6_14,0.006
,,00002.328400,D1_24,0.041
,,00002.432560,B6_14,0.031
,,00002.444000,B6_43,0.029
,,00002.453440,C2_11,0.128
,,00002.454800,B6_33,0.019
,,00002.459760,B6_33,0.035
,,00002.500240,B6_44,0.024
,,00002.514960,D1_31,0.03
,,00002.537280,D1_31,0.032
,,00002.540640,D1_21,0.015
,,00002.542560,D6_44,0.014
,,00002.568000,B6_44,0.078
,,00002.568320,D1_31,0.04
,,00002.569040,D1_21,0.354
,,00002.570320,B6_44,0.013
,,00002.570560,D1_31,0.026
,,00002.572720,D1_24,0.022
,,00002.573920,B6_44,0.033
,,00002.574880,D1_31,0.019
,,00002.575120,D1_24,0.022
,,00002.576960,B6_44,0.014
,,00002.623040,B6_33,0.106
,,00002.626160,B6_14,0.394
,,00002.628480,B6_14,0.079
,,00002.666080,A5_14,0.02
,,00002.669120,A5_14,0.013
,,00002.671840,A5_14,0.019
,,00002.688800,A5_44,0.011
,,00002.690800,A5_41,0.011
,,00002.693520,A5_41,0.009
,,00002.694560,A5_21,0.045
,,00002.696080,D3_32,0.02
,,00002.696480,A5_14,0.017
,,00002.696640,A5_41,0.015
,,00002.696960,A5_13,0.027
,,00002.697600,A5_21,0.037
,,00002.699600,A5_14,0.02
,,00002.699680,A5_13,0.053
,,00002.699840,D3_21,0.013
,,00002.699920,D3_32,0.012
,,00002.702560,A5_41,0.008
,,00002.702640,A5_13,0.017
,,00002.703040,B4_43,0.023
,,00002.703280,B4_34,0.094
,,00002.703280,B4_44,0.018
,,00002.703680,A5_21,0.018
,,00002.704720,A5_14,0.017
,,00002.705280,B4_43,0.028
,,00002.705520,B6_33,0.037
,,00002.705760,B4_33,0.022
,,00002.705920,B4_44,0.033
,,00002.706000,A5_13,0.019
,,00002.706240,B4_21,0.018
,,00002.706240,B4_42,0.013
,,00002.706960,B4_34,0.092
,,00002.707040,A5_21,0.018
,,00002.707520,B4_24,0.092
,,00002.708080,B4_43,0.135
,,00002.708880,B4_42,0.017
,,00002.709200,A5_14,0.016
,,00002.709200,B4_34,0.032
,,00002.709440,B4_33,0.056
,,00002.709760,B4_44,0.022
,,00002.710400,B4_24,0.036
,,00002.711440,B4_42,0.033
,,00002.711520,B4_34,0.067
,,00002.711920,B4_43,0.045
,,00002.712320,B4_33,0.016
,,00002.712400,A5_21,0.017
,,00002.713680,B4_11,0.012
,,00002.713760,B4_24,0.02
,,00002.713840,A5_13,0.014
,,00002.713920,B4_42,0.049
,,00002.714320,B4_34,0.01
,,00002.714640,B4_43,0.034
,,00002.715040,B4_33,0.058
,,00002.716240,B4_24,0.014
,,00002.716480,B4_42,0.023
,,00002.717040,B4_43,0.068
,,00002.717120,A5_21,0.018
,,00002.719360,B4_43,0.03
,,00002.720560,A5_13,0.011
,,00002.722560,A5_14,0.013
,,00002.725440,D6_44,0.018
,,00002.727120,A5_21,0.018
,,00002.731520,D6_44,0.013
,,00002.756560,B6_14,0.028
,,00002.777120,B6_14,0.029
