Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
,,00436.122720,A6_43,0.014
,,00436.124400,A6_11,0.026
,,00436.124560,A6_22,0.08
,,00436.124800,A6_21,0.176
,,00436.125120,A6_12,0.025
,,00436.125360,A6_31,0.017
,,00436.126880,A6_11,0.014
,,00436.127040,A6_22,0.172
,,00436.127440,A6_12,0.018
,,00436.127440,A6_21,0.05
,,00436.127840,A6_42,0.019
,,00436.129520,A6_43,0.033
,,00436.129760,A6_21,0.073
,,00436.130000,A6_22,0.05
,,00436.130000,A6_31,0.02
,,00436.130640,A6_42,0.018
,,00436.131760,A6_12,0.011
,,00436.132240,A6_11,0.035
,,00436.132560,A6_21,0.06
,,00436.133120,A6_22,0.045
,,00436.134240,A6_31,0.019
,,00436.134400,A6_43,0.026
,,00436.135280,A6_11,0.018
,,00436.135280,A6_21,0.21
,,00436.135360,A6_12,0.018
,,00436.135920,A6_42,0.014
,,00436.136160,A6_22,0.049
,,00436.137760,A6_21,0.143
,,00436.137920,A6_12,0.017
,,00436.138560,A6_42,0.025
,,00436.139040,A6_11,0.037
,,00436.139040,A6_22,0.056
,,00436.140160,A6_21,0.093
,,00436.141280,A6_22,0.259
,,00436.141520,A6_11,0.052
,,00436.142400,A6_21,0.101
,,00436.143360,A6_12,0.023
,,00436.143600,A6_42,0.019
,,00436.143920,A6_22,0.146
,,00436.145600,A6_12,0.032
,,00436.146240,A6_21,0.084
,,00436.146320,A6_11,0.041
,,00436.146320,A6_42,0.021
,,00436.146480,A6_22,0.337
,,00436.147840,A6_12,0.017
,,00436.148240,A6_43,0.031
,,00436.148720,A6_11,0.031
,,00436.149120,A6_42,0.046
,,00436.149120,B6_14,0.035
,,00436.149680,A6_21,0.133
,,00436.149920,A6_32,0.02
,,00436.150240,A6_12,0.031
,,00436.150640,A6_22,0.326
,,00436.150960,A6_31,0.013
,,00436.151040,A6_43,0.025
,,00436.152160,A6_44,0.01
,,00436.152400,A6_21,0.063
,,00436.152400,A6_32,0.011
,,00436.152560,A6_11,0.027
,,00436.152560,A6_42,0.009
,,00436.152720,A6_12,0.035
,,00436.153680,A6_43,0.016
,,00436.154080,A6_22,0.073
,,00436.155040,A6_11,0.034
,,00436.155040,A6_21,0.051
,,00436.156880,A6_22,0.117
,,00436.157120,A6_12,0.015
,,00436.157280,A6_21,0.054
,,00436.158640,A6_11,0.026
,,00436.158640,A6_32,0.012
,,00436.159280,A6_42,0.027
,,00436.159680,A6_22,0.06
,,00436.159760,D3_32,0.017
,,00436.160400,A6_21,0.056
,,00436.161120,A6_43,0.033
,,00436.162000,A6_22,0.033
,,00436.162400,A6_11,0.017
,,00436.163280,A6_12,0.013
,,00436.163360,A6_21,0.034
,,00436.165040,A6_22,0.041
,,00436.165520,A6_12,0.011
,,00436.166480,A6_21,0.029
,,00436.169120,A6_21,0.019
,,00436.169200,A6_22,0.025
,,00436.171760,A6_22,0.028
,,00436.172240,A6_43,0.022
,,00436.174000,A6_22,0.026
,,00436.175360,A6_42,0.029
,,00436.176640,A6_21,0.023
,,00436.176880,A6_22,0.036
,,00436.179920,A6_21,0.025
,,00436.179920,A6_22,0.013
,,00436.182240,A6_22,0.011
,,00436.182480,A6_21,0.011
,,00436.252400,B6_43,0.025
,,00436.257840,B6_33,0.099
,,00436.261360,B6_44,0.022
,,00436.269120,B6_14,0.329
,,00436.271520,B6_14,0.089
,,00436.273840,B6_14,0.019
,,00436.290320,B6_14,0.032
,,00436.291680,B6_44,0.014
,,00436.310880,B6_44,0.023
,,00436.462880,C2_11,0.13
,,00436.466320,C2_11,0.011
,,00436.472560,B6_33,0.03
,,00436.476400,B6_44,0.019
,,00436.487280,B6_14,0.315
,,00436.489520,B6_14,0.107
,,00436.513360,B6_14,0.035
,,00436.523600,B6_33,0.021
,,00436.549280,D1_34,0.017
,,00436.583680,B1_33,0.025
,,00436.594400,B6_43,0.024
,,00436.598720,B6_33,0.034
,,00436.604640,D3_32,0.018
,,00436.608880,D3_32,0.012
,,00436.609760,A2_13,0.024
,,00436.611600,A2_11,0.028
,,00436.615280,D1_21,0.337
,,00436.615360,D1_31,0.047
,,00436.617600,D1_21,0.014
,,00436.635840,D3_32,0.013
,,00436.642400,B6_33,0.038
,,00436.643920,D3_21,0.012
,,00436.646720,B6_34,0.179
,,00436.647040,B6_33,0.009
,,00436.649440,B6_34,0.083
,,00436.650880,B6_33,0.032
,,00436.659200,B6_14,0.031
,,00436.715920,C2_34,0.014
,,00436.735600,A2_33,0.019
,,00436.736640,A2_44,0.04
,,00436.736880,A2_43,0.031
,,00436.737440,A2_34,0.065
,,00436.737920,A2_33,0.037
,,00436.738880,A2_42,0.02
,,00436.739760,A2_34,0.092
,,00436.739920,A2_43,0.015
,,00436.740320,A2_33,0.024
,,00436.740480,A2_32,0.03
,,00436.742160,A2_43,0.02
,,00436.742560,A2_14,0.015
,,00436.742560,A2_21,0.061
,,00436.742560,A2_33,0.032
,,00436.742720,A2_34,0.036
,,00436.743200,A2_32,0.025
,,00436.743440,A2_42,0.012
,,00436.744080,A2_11,0.043
,,00436.744080,B6_43,0.022
,,00436.744960,A2_34,0.035
,,00436.745200,A2_21,0.039
,,00436.745360,A2_14,0.025
,,00436.745680,A2_33,0.02
,,00436.746080,A2_32,0.017
,,00436.746240,A2_24,0.014
,,00436.746640,A2_13,0.054
,,00436.746720,A2_12,0.019
,,00436.747680,A2_14,0.029
,,00436.747760,A2_34,0.028
,,00436.748000,A2_21,0.019
,,00436.748320,A2_11,0.014
,,00436.748480,B6_33,0.033
,,00436.749280,A2_33,0.021
,,00436.749920,A2_14,0.005
,,00436.750000,A2_13,0.011
,,00436.751520,A2_33,0.017
,,00436.753840,B6_33,0.018
,,00436.757760,B6_14,0.327
,,00436.760160,B6_14,0.086
,,00436.764320,A2_34,0.025
,,00436.764480,B6_14,0.036
,,00436.786640,B6_14,0.03
,,00436.788960,C2_34,0.052
,,00436.803920,A2_34,0.015
,,00436.871280,C2_11,0.129
,,00436.874400,C2_11,0.012
,,00436.889280,B1_33,0.039
,,00436.893280,B1_33,0.032
,,00436.896560,B6_44,0.025
,,00436.899200,B1_33,0.021
,,00436.930880,B6_44,0.022
,,00436.941360,A6_22,0.03
,,00436.946240,B6_14,0.33
,,00436.948560,B6_14,0.098
,,00436.954960,B6_14,0.017
,,00437.004880,D1_24,0.015
,,00437.008080,D1_24,0.01
,,00437.010960,B6_14,0.03
,,00437.024640,A5_14,0.017
,,00437.025120,A5_44,0.009
,,00437.029040,A5_14,0.017
,,00437.029440,A5_21,0.009
,,00437.032560,A5_14,0.018
,,00437.039200,A5_13,0.016
,,00437.040320,A5_14,0.015
,,00437.043200,A5_21,0.023
,,00437.043840,B6_33,0.037
,,00437.044480,A5_41,0.017
,,00437.047280,A5_21,0.015
,,00437.047600,B6_34,0.355
,,00437.048880,B6_33,0.028
,,00437.050080,B6_34,0.048
,,00437.050160,A5_41,0.011
,,00437.050640,A5_21,0.014
,,00437.052480,A5_41,0.014
,,00437.054000,A5_21,0.023
,,00437.055040,A5_41,0.015
,,00437.055840,A5_13,0.027
,,00437.056640,A5_21,0.01
,,00437.058400,A5_41,0.013
,,00437.058880,A5_21,0.022
,,00437.059520,A5_13,0.05
,,00437.059680,B6_34,0.048
,,00437.062000,A5_13,0.027
,,00437.062480,B6_34,0.074
,,00437.062960,A5_41,0.01
,,00437.063360,A5_14,0.02
,,00437.064720,B6_33,0.014
,,00437.065120,A5_13,0.027
,,00437.067600,A5_13,0.015
,,00437.070560,B6_33,0.036
,,00437.113040,A6_22,0.029
,,00437.182880,B4_34,0.12
,,00437.182880,B4_43,0.04
,,00437.183280,B4_44,0.019
,,00437.184640,B4_33,0.02
,,00437.184960,B4_24,0.025
,,00437.185360,B4_43,0.135
,,00437.185920,B4_34,0.058
,,00437.186320,B4_44,0.026
,,00437.187120,B4_33,0.085
,,00437.187280,B4_24,0.101
,,00437.187680,B4_42,0.051
,,00437.188080,B4_43,0.09
,,00437.189600,B4_33,0.06
,,00437.189600,B4_34,0.018
,,00437.189680,B4_44,0.02
,,00437.190000,B4_42,0.084
,,00437.190080,B4_24,0.05
,,00437.191200,B4_43,0.115
,,00437.192320,B4_33,0.058
,,00437.192640,B4_24,0.03
,,00437.192720,B6_14,0.315
,,00437.192880,B4_44,0.014
,,00437.193200,B4_42,0.08
,,00437.193840,B4_32,0.019
,,00437.194960,B4_24,0.015
,,00437.194960,B4_43,0.188
,,00437.194960,B6_14,0.098
,,00437.196160,B4_33,0.034
,,00437.196560,B4_42,0.014
,,00437.197200,B4_43,0.041
,,00437.198000,B4_24,0.027
,,00437.199040,B4_33,0.012
,,00437.200320,B4_24,0.043
,,00437.201280,B4_33,0.013
,,00437.204880,B4_24,0.014
,,00437.212480,B6_43,0.019
,,00437.218720,B6_33,0.033
,,00437.221040,B6_33,0.106
,,00437.224480,B6_33,0.019
,,00437.227360,B6_33,0.019
,,00437.257440,C2_11,0.129
,,00437.297120,A6_22,0.03
,,00437.301680,B6_14,0.037
,,00437.307120,B6_14,0.029
,,00437.335840,B6_33,0.017
,,00437.367040,B6_44,0.016
,,00437.390160,B6_43,0.023
,,00437.397600,B6_33,0.035
,,00437.414560,B6_44,0.025
,,00437.427520,B3_14,0.016
,,00437.462000,D1_33,0.056
,,00437.464240,D1_24,0.177
,,00437.464320,D1_34,0.043
,,00437.464640,D1_42,0.189
,,00437.465360,D1_33,0.024
,,00437.466960,D1_34,0.013
,,00437.467840,D1_24,0.097
,,00437.468080,D1_42,0.017
,,00437.468640,B6_14,0.324
,,00437.468800,D1_33,0.012
,,00437.469200,D1_34,0.03
,,00437.470160,D1_24,0.132
,,00437.471040,B6_14,0.084
,,00437.471120,D1_33,0.02
,,00437.471360,D1_42,0.012
,,00437.472560,D1_24,0.152
,,00437.473520,D1_33,0.036
,,00437.474800,D1_24,0.17
,,00437.477200,D1_24,0.15
,,00437.480240,D1_33,0.009
,,00437.481440,D1_24,0.008
,,00437.483920,A6_22,0.03
,,00437.520000,D3_32,0.016
,,00437.524320,D3_32,0.014
,,00437.542480,B6_14,0.028
,,00437.603440,B6_33,0.041
,,00437.605680,B6_33,0.037
,,00437.607600,B6_34,0.059
,,00437.608560,B6_33,0.024
,,00437.611120,B6_34,0.348
,,00437.619920,B6_43,0.021
,,00437.624240,B6_33,0.031
,,00437.627760,B6_33,0.102
,,00437.633840,B6_44,0.037
,,00437.641440,C2_11,0.131
,,00437.644720,B6_33,0.015
,,00437.684400,B6_14,0.035
,,00437.693680,B6_14,0.029
,,00437.711200,A6_22,0.031
,,00437.715360,D3_23,0.017
,,00437.729040,B1_34,0.011
,,00437.730240,B1_33,0.033
,,00437.732800,B1_13,0.012
,,00437.733120,B1_33,0.025
,,00437.734800,B1_44,0.012
,,00437.735760,B1_33,0.023
,,00437.782720,B6_43,0.025
,,00437.796480,B6_44,0.015
,,00437.808240,B6_33,0.019
,,00437.808320,B6_14,0.341
,,00437.810560,B6_14,0.095
,,00437.870560,B5_13,0.024
,,00437.897280,D1_21,0.017
,,00437.908960,A3_12,0.012
,,00437.909120,A3_11,0.021
,,00437.911680,A3_12,0.015
,,00437.914560,A3_13,0.015
,,00437.914960,A3_14,0.044
,,00437.915360,A3_22,0.014
,,00437.916480,A3_12,0.012
,,00437.917600,A3_14,0.034
,,00437.917680,A3_34,0.014
,,00437.919280,A3_13,0.026
,,00437.920400,A3_14,0.03
,,00437.920560,A3_44,0.033
,,00437.920800,A3_43,0.07
,,00437.921920,A3_24,0.027
,,00437.922000,A3_34,0.015
,,00437.922160,A3_13,0.097
,,00437.922640,A3_22,0.012
,,00437.923760,A3_14,0.023
,,00437.925440,A3_32,0.013
,,00437.925520,A3_24,0.032
,,00437.926320,A3_14,0.013
,,00437.926800,A3_13,0.034
,,00437.928000,A3_43,0.045
,,00437.929440,A3_13,0.113
,,00437.929600,B6_43,0.025
,,00437.930000,A3_24,0.02
,,00437.930640,A3_23,0.016
,,00437.930640,A3_34,0.015
,,00437.931120,A3_44,0.03
,,00437.931760,A3_22,0.019
,,00437.932240,A6_22,0.032
,,00437.932560,A3_13,0.022
,,00437.933040,A3_43,0.03
,,00437.933360,A3_34,0.018
,,00437.933920,A3_24,0.07
,,00437.934400,A3_14,0.021
,,00437.934640,A3_44,0.019
,,00437.934960,A3_41,0.008
,,00437.935200,A3_13,0.101
,,00437.935360,A3_43,0.02
,,00437.935440,A3_23,0.016
,,00437.935680,B6_33,0.035
,,00437.936160,A3_24,0.069
,,00437.936560,A3_31,0.017
,,00437.936640,A3_34,0.018
,,00437.937040,A3_14,0.018
,,00437.937360,A3_44,0.015
,,00437.937520,A3_13,0.019
,,00437.937760,A3_43,0.015
,,00437.938400,A3_24,0.02
,,00437.939520,A3_14,0.017
,,00437.939520,A3_34,0.043
,,00437.940000,A3_13,0.191
,,00437.940160,A3_43,0.023
,,00437.940320,A3_44,0.035
,,00437.941200,A3_24,0.077
,,00437.941760,A3_14,0.015
,,00437.942560,A3_34,0.029
,,00437.942720,A3_43,0.024
,,00437.943040,A3_44,0.028
,,00437.943200,A3_13,0.064
,,00437.944160,A3_24,0.027
,,00437.944320,A3_14,0.03
,,00437.945120,A3_34,0.029
,,00437.945440,A3_13,0.214
,,00437.945440,A3_44,0.082
,,00437.945600,A3_43,0.04
,,00437.946160,A3_23,0.024
,,00437.946400,A3_33,0.022
,,00437.946640,A3_14,0.084
,,00437.947040,A3_12,0.02
,,00437.947600,A3_32,0.033
,,00437.947600,A3_34,0.023
,,00437.947920,A3_43,0.024
,,00437.948320,A3_13,0.139
,,00437.948480,A3_24,0.149
,,00437.948480,A3_41,0.027
,,00437.948640,A3_23,0.033
,,00437.948800,A3_31,0.025
,,00437.948880,A3_14,0.082
,,00437.949360,A3_44,0.141
,,00437.949520,A3_22,0.052
,,00437.949920,A3_34,0.02
,,00437.950480,A3_32,0.031
,,00437.950800,A3_24,0.045
,,00437.950880,A3_43,0.076
,,00437.950960,A3_12,0.016
,,00437.950960,A3_13,0.075
,,00437.951200,A3_41,0.023
,,00437.951280,A3_23,0.019
,,00437.951600,A3_31,0.014
,,00437.952080,A3_14,0.05
,,00437.952080,A3_22,0.066
,,00437.952160,A3_33,0.012
,,00437.952240,A3_34,0.014
,,00437.952640,A3_44,0.077
,,00437.953120,A3_43,0.05
,,00437.953360,A3_12,0.022
,,00437.953600,A3_23,0.017
,,00437.953760,A3_13,0.081
,,00437.953840,A3_24,0.104
,,00437.953840,A3_31,0.014
,,00437.954000,A3_32,0.033
,,00437.954400,A3_11,0.031
,,00437.954560,A3_14,0.046
,,00437.954560,A3_22,0.036
,,00437.954720,A3_34,0.025
,,00437.955200,A3_21,0.028
,,00437.955520,A3_44,0.061
,,00437.955600,A3_43,0.035
,,00437.955760,A3_12,0.031
,,00437.956160,A3_24,0.105
,,00437.956400,A3_31,0.027
,,00437.956560,A3_13,0.055
,,00437.956800,A3_14,0.048
,,00437.957040,A3_11,0.034
,,00437.957120,A3_22,0.026
,,00437.957520,A3_23,0.011
,,00437.957520,A3_32,0.029
,,00437.957840,A3_44,0.034
,,00437.958320,A3_43,0.049
,,00437.958400,A3_21,0.027
,,00437.958800,A3_12,0.018
,,00437.959120,A3_13,0.039
,,00437.959120,A3_31,0.024
,,00437.959360,A3_24,0.014
,,00437.959680,A3_14,0.04
,,00437.959680,A3_22,0.048
,,00437.959760,A3_32,0.018
,,00437.960080,A3_11,0.035
,,00437.960560,A3_44,0.033
,,00437.960640,A3_43,0.021
,,00437.960960,A3_34,0.017
,,00437.961520,A3_21,0.012
,,00437.961680,A3_13,0.029
,,00437.961760,A3_24,0.086
,,00437.961920,A3_31,0.013
,,00437.962400,A3_14,0.026
,,00437.962400,A3_22,0.033
,,00437.962480,A3_32,0.012
,,00437.962960,A3_11,0.013
,,00437.962960,A3_44,0.027
,,00437.963360,A3_12,0.017
,,00437.963440,A3_34,0.017
,,00437.963680,A3_43,0.037
,,00437.964000,A3_24,0.039
,,00437.964320,A3_13,0.022
,,00437.964640,A3_14,0.03
,,00437.965040,A3_22,0.052
,,00437.965120,A3_41,0.011
,,00437.965760,A3_34,0.011
,,00437.965840,A3_44,0.038
,,00437.966400,A3_24,0.113
,,00437.966640,A3_13,0.023
,,00437.966720,A3_43,0.029
,,00437.966960,A3_14,0.036
,,00437.967440,A3_22,0.029
,,00437.968880,A3_44,0.021
,,00437.969120,A3_11,0.018
,,00437.969680,A3_14,0.046
,,00437.969760,A3_32,0.02
,,00437.969920,A3_13,0.03
,,00437.970000,A3_43,0.026
,,00437.970160,A3_22,0.044
,,00437.970480,A3_24,0.04
,,00437.971360,A3_44,0.048
,,00437.971920,A3_14,0.028
,,00437.972160,A3_34,0.014
,,00437.972400,A3_22,0.018
,,00437.972400,A3_43,0.045
,,00437.972480,A3_13,0.021
,,00437.972480,A3_32,0.015
,,00437.972960,A3_24,0.049
,,00437.973680,A3_44,0.053
,,00437.973840,A3_11,0.03
,,00437.974000,B6_44,0.039
,,00437.974240,A3_14,0.027
,,00437.974640,A3_22,0.055
,,00437.974720,A3_13,0.032
,,00437.974960,A3_12,0.016
,,00437.975200,A3_24,0.073
,,00437.975520,A3_34,0.016
,,00437.975600,A3_43,0.024
,,00437.975680,A3_32,0.023
,,00437.976480,A3_14,0.035
,,00437.977120,A3_13,0.033
,,00437.977200,A3_44,0.032
,,00437.978000,A3_31,0.014
,,00437.978320,A3_32,0.022
,,00437.979040,A3_22,0.019
,,00437.979120,A3_14,0.028
,,00437.979120,A3_43,0.012
,,00437.979680,A3_44,0.024
,,00437.979760,A3_24,0.035
,,00437.979760,B6_14,0.029
,,00437.980400,A3_13,0.032
,,00437.981360,A3_14,0.024
,,00437.981440,A3_22,0.016
,,00437.981680,A3_43,0.017
,,00437.982240,A3_44,0.056
,,00437.982400,A3_24,0.073
,,00437.983120,A3_13,0.027
,,00437.983120,A3_34,0.017
,,00437.984160,A3_43,0.018
,,00437.984480,A3_44,0.025
,,00437.984720,A3_14,0.025
,,00437.985040,A3_24,0.025
,,00437.985600,A3_13,0.027
,,00437.986560,A3_43,0.027
,,00437.986640,A3_22,0.023
,,00437.986720,A3_12,0.016
,,00437.986800,B6_44,0.039
,,00437.987280,A3_24,0.067
,,00437.987280,A3_44,0.029
,,00437.987360,A3_11,0.015
,,00437.988000,A3_14,0.021
,,00437.988080,A3_13,0.042
,,00437.989440,A3_22,0.016
,,00437.990000,A3_24,0.068
,,00437.990320,A3_43,0.035
,,00437.990400,A3_13,0.029
,,00437.990480,A3_14,0.021
,,00437.990800,A3_12,0.014
,,00437.991040,A3_44,0.02
,,00437.991280,A3_34,0.013
,,00437.992000,A3_21,0.025
,,00437.992560,A3_32,0.017
,,00437.992640,A3_24,0.094
,,00437.992720,A3_43,0.038
,,00437.992880,A3_14,0.029
,,00437.993040,A3_13,0.031
,,00437.993600,A3_22,0.067
,,00437.994160,A3_44,0.052
,,00437.994960,A3_24,0.033
,,00437.994960,A3_32,0.022
,,00437.995200,A3_12,0.015
,,00437.995840,A3_34,0.014
,,00437.995840,A3_43,0.013
,,00437.996000,A3_13,0.027
,,00437.996000,A3_22,0.03
,,00437.996480,A3_44,0.08
,,00437.996560,A3_21,0.016
,,00437.997200,A3_32,0.03
,,00437.997360,A3_24,0.075
,,00437.997520,A3_12,0.029
,,00437.997520,A3_31,0.016
,,00437.997600,A3_14,0.04
,,00437.998080,B6_44,0.029
,,00437.998160,A3_11,0.029
,,00437.998400,A3_13,0.017
,,00437.998400,A3_43,0.062
,,00437.998800,A3_22,0.027
,,00437.998880,A3_44,0.036
,,00437.999280,A3_41,0.01
,,00437.999360,A3_21,0.027
,,00437.999440,A3_32,0.018
,,00437.999920,A3_24,0.041
,,00438.000160,A3_14,0.019
,,00438.000400,A3_11,0.03
,,00438.000400,A3_12,0.021
,,00438.000960,A3_13,0.052
,,00438.000960,A3_43,0.035
,,00438.001280,A3_22,0.058
,,00438.001600,A3_44,0.118
,,00438.001840,A3_32,0.021
,,00438.001920,A3_31,0.014
,,00438.002240,A3_24,0.084
,,00438.002560,A3_23,0.014
,,00438.002720,A3_14,0.025
,,00438.003040,A3_34,0.015
,,00438.003120,A3_11,0.022
,,00438.003120,A3_12,0.03
,,00438.003200,A3_21,0.014
,,00438.003600,A3_43,0.078
,,00438.003680,A3_22,0.019
,,00438.004400,A3_31,0.018
,,00438.004560,A3_13,0.022
,,00438.004640,A3_44,0.046
,,00438.004720,A3_24,0.033
,,00438.005280,A3_14,0.02
,,00438.005440,A3_11,0.026
,,00438.005440,A3_12,0.022
,,00438.005680,A3_21,0.021
,,00438.005920,A3_22,0.045
,,00438.006240,A3_43,0.062
,,00438.006560,A3_34,0.016
,,00438.007360,A3_13,0.033
,,00438.007520,A3_44,0.052
,,00438.007600,A3_24,0.059
,,00438.008080,A3_11,0.019
,,00438.008160,A3_32,0.014
,,00438.008240,A3_12,0.057
,,00438.008400,A3_22,0.019
,,00438.008720,A3_43,0.064
,,00438.009040,A3_21,0.024
,,00438.009040,B6_44,0.026
,,00438.009840,A3_13,0.027
,,00438.009920,A3_24,0.034
,,00438.009920,A3_44,0.038
,,00438.010720,A3_32,0.019
,,00438.010800,A3_11,0.028
,,00438.011040,A3_22,0.013
,,00438.011280,A3_12,0.01
,,00438.011280,A3_31,0.016
,,00438.011360,A3_43,0.044
,,00438.011440,A3_21,0.013
,,00438.012240,A3_44,0.036
,,00438.012560,A3_13,0.026
,,00438.012960,A3_32,0.017
,,00438.013120,A3_24,0.024
,,00438.014320,A3_43,0.027
,,00438.014560,A3_44,0.031
,,00438.015040,A3_11,0.017
,,00438.015280,A3_21,0.024
,,00438.015360,A3_24,0.037
,,00438.015680,A3_13,0.027
,,00438.016240,A3_32,0.014
,,00438.016880,A3_44,0.02
,,00438.017600,A3_43,0.031
,,00438.017920,A3_22,0.026
,,00438.018560,A3_24,0.03
,,00438.018640,A3_14,0.014
,,00438.018960,A3_11,0.017
,,00438.019760,A3_44,0.019
,,00438.020000,A3_13,0.023
,,00438.020000,A3_43,0.012
,,00438.020800,C2_14,0.034
,,00438.021360,A3_24,0.021
,,00438.022320,A3_44,0.014
,,00438.022640,A3_14,0.016
,,00438.023520,A3_43,0.021
,,00438.024080,A3_24,0.022
,,00438.024720,A3_44,0.026
,,00438.025600,A3_14,0.022
,,00438.026880,C2_11,0.136
,,00438.028720,A3_24,0.017
,,00438.029280,A3_13,0.025
,,00438.030400,A3_43,0.016
,,00438.031360,A3_44,0.017
,,00438.032400,A3_13,0.014
,,00438.032800,A3_43,0.014
,,00438.032960,A3_24,0.03
,,00438.033600,A3_12,0.01
,,00438.034080,A3_14,0.036
,,00438.034880,A3_13,0.062
,,00438.035440,A3_24,0.025
,,00438.036080,A3_43,0.013
,,00438.036560,A3_34,0.022
,,00438.037280,A3_13,0.045
,,00438.037760,A3_44,0.043
,,00438.038320,A3_14,0.037
,,00438.038320,A3_24,0.055
,,00438.038560,A3_32,0.015
,,00438.039680,A3_23,0.022
,,00438.039760,A3_13,0.099
,,00438.040000,A3_44,0.115
,,00438.040880,A3_24,0.071
,,00438.041200,A3_14,0.041
,,00438.041200,A3_43,0.021
,,00438.041360,A3_34,0.018
,,00438.042640,A3_44,0.068
,,00438.042720,A3_13,0.018
,,00438.042880,A3_23,0.02
,,00438.043040,A3_32,0.014
,,00438.043360,A3_22,0.027
,,00438.043680,A3_43,0.046
,,00438.043840,A3_14,0.033
,,00438.044240,A3_24,0.024
,,00438.044960,A3_12,0.031
,,00438.044960,A3_34,0.025
,,00438.045200,A3_23,0.014
,,00438.045600,A3_13,0.037
,,00438.045760,A3_32,0.026
,,00438.045840,A3_44,0.036
,,00438.046000,A3_22,0.046
,,00438.046160,A3_14,0.036
,,00438.046160,A3_43,0.03
,,00438.046720,A3_24,0.093
,,00438.047200,A3_34,0.012
,,00438.047360,A3_12,0.013
,,00438.048000,A3_13,0.022
,,00438.048160,A3_31,0.017
,,00438.048320,A3_44,0.056
,,00438.048480,A3_14,0.03
,,00438.048480,A3_32,0.032
,,00438.048720,A3_22,0.025
,,00438.048880,A3_11,0.026
,,00438.048960,A3_43,0.066
,,00438.049040,A3_24,0.053
,,00438.049520,A3_21,0.024
,,00438.049760,A3_12,0.029
,,00438.050480,A3_13,0.026
,,00438.050800,A3_44,0.057
,,00438.050880,A3_32,0.038
,,00438.051040,A3_41,0.019
,,00438.051200,A3_14,0.016
,,00438.051280,A3_24,0.024
,,00438.051440,A3_43,0.049
,,00438.052240,A3_22,0.049
,,00438.052640,A3_11,0.03
,,00438.052800,A3_13,0.03
,,00438.052800,A3_31,0.02
,,00438.053120,A3_12,0.077
,,00438.053200,A3_34,0.011
,,00438.053200,A3_44,0.033
,,00438.053280,A3_21,0.028
,,00438.053440,A3_32,0.025
,,00438.053840,A3_41,0.015
,,00438.053840,A3_43,0.058
,,00438.054080,A3_24,0.016
,,00438.054640,A3_22,0.017
,,00438.055120,A3_13,0.033
,,00438.055440,A3_44,0.044
,,00438.055520,A3_21,0.014
,,00438.055840,A3_12,0.034
,,00438.055920,A3_14,0.02
,,00438.056160,A3_11,0.02
,,00438.056160,A3_41,0.012
,,00438.056560,A3_32,0.032
,,00438.056800,A3_43,0.02
,,00438.056880,A3_24,0.043
,,00438.057680,A3_22,0.039
,,00438.057760,A3_44,0.089
,,00438.057920,A3_13,0.022
,,00438.058000,A3_34,0.018
,,00438.058320,A3_12,0.054
,,00438.058560,A3_31,0.021
,,00438.059120,A3_14,0.019
,,00438.059120,A3_21,0.015
,,00438.059120,A3_43,0.08
,,00438.059200,A3_11,0.025
,,00438.059200,A3_41,0.009
,,00438.059280,A3_24,0.089
,,00438.059360,A3_32,0.022
,,00438.060160,A3_22,0.014
,,00438.060960,A3_13,0.023
,,00438.061120,A3_12,0.021
,,00438.061360,A3_21,0.019
,,00438.061440,A3_44,0.039
,,00438.061600,A3_24,0.027
,,00438.061680,A3_11,0.019
,,00438.061680,A3_32,0.021
,,00438.061760,A3_14,0.029
,,00438.061840,A3_43,0.037
,,00438.062560,A3_31,0.027
,,00438.063920,A3_24,0.018
,,00438.064000,A3_14,0.012
,,00438.064240,A3_13,0.025
,,00438.064320,A3_44,0.049
,,00438.064400,A3_43,0.026
,,00438.064640,A3_11,0.015
,,00438.065680,A3_34,0.015
,,00438.066800,A3_44,0.028
,,00438.066880,A3_21,0.02
,,00438.066880,A3_24,0.087
,,00438.066880,A3_43,0.042
,,00438.067600,A3_14,0.028
,,00438.067680,A3_11,0.019
,,00438.068160,A3_13,0.026
,,00438.069280,A3_44,0.021
,,00438.069600,A3_24,0.032
,,00438.069760,A3_43,0.028
,,00438.070640,A3_32,0.011
,,00438.070800,A3_22,0.012
,,00438.070880,A3_14,0.014
,,00438.071760,A3_44,0.025
,,00438.072400,A3_43,0.017
,,00438.072560,A3_13,0.019
,,00438.072720,A3_12,0.016
,,00438.072720,A3_24,0.028
,,00438.072800,A3_21,0.016
,,00438.073600,A3_11,0.019
,,00438.074640,A3_44,0.019
,,00438.075040,A3_13,0.019
,,00438.075440,A3_22,0.02
,,00438.075520,A3_24,0.017
,,00438.076560,A3_14,0.019
,,00438.077360,A3_13,0.018
,,00438.078080,A3_22,0.013
,,00438.079920,A3_13,0.027
,,00438.080880,A3_24,0.02
,,00438.083280,A3_14,0.017
,,00438.083360,A3_44,0.024
,,00438.083520,B6_14,0.341
,,00438.084000,A3_43,0.014
,,00438.085920,B6_14,0.099
,,00438.087440,A3_13,0.016
,,00438.122320,A6_22,0.03
,,00438.166240,B6_14,0.03
,,00438.167760,D3_32,0.018
,,00438.171680,D3_32,0.015
,,00438.207760,B6_43,0.025
,,00438.217920,B6_33,0.029
,,00438.236960,B6_33,0.042
,,00438.240480,B6_34,0.196
