Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00091.840080,C2_14,14,0.34704
,,00091.958160,C2_34,6,0.2316
,,00092.267360,B6_33,5,0.02024
,,00092.723040,A6_21,15,0.05208
,,00092.707120,A6_22,12,0.04216
,,00093.009840,D3_24,5,0.0452
,,00092.965680,A3_13,63,0.27784
,,00092.968880,A3_14,21,0.21344
,,00093.008160,A3_24,31,0.20664
,,00092.996960,A3_34,11,0.17144
,,00093.020480,A3_44,35,0.18104
,,00093.032000,A3_43,23,0.16336
,,00093.707120,B3_14,9,0.03336
,,00093.703520,B3_44,5,0.03176
,,00094.037680,A6_21,9,0.02664
,,00094.039840,A6_22,9,0.02232
,,00095.020800,C1_33,6,0.10104
,,00095.022720,C1_43,9,0.04848
,,00095.157280,A6_22,6,0.02296
,,00095.613840,A2_21,7,0.03144
,,00095.850640,A6_22,7,0.14288
,,00096.009120,B6_33,7,0.03296
,,00096.583920,B1_33,5,0.0124
,,00096.535600,B4_43,8,0.17248
,,00096.650240,A6_21,16,0.0556
,,00096.651600,A6_22,11,0.0292
,,00097.039280,D4_42,10,0.04168
,,00097.185840,D4_42,7,0.03808
,,00098.383760,A6_21,8,0.03256
,,00098.382800,A6_22,16,0.16416
,,00098.891520,A1_34,5,0.02712
,,00099.093360,A6_22,5,0.02128
,,00099.227200,B5_21,11,0.06736
,,00099.658240,B3_14,7,0.02008
,,00099.938320,B4_33,20,0.10664
,,00099.913280,B4_34,11,0.07672
,,00099.935920,B4_42,11,0.07808
,,00099.940720,B4_32,8,0.10856
,,00099.936080,B4_44,6,0.02728
,,00099.875280,A6_22,9,0.0364
,,00099.904160,B4_43,40,0.32944
,,00100.624880,A3_13,8,0.02232
,,00100.846320,A6_22,6,0.01984
,,00100.831600,B6_14,5,0.03304
,,00100.790400,B6_33,9,0.04336
,,00101.736480,C2_11,6,0.10112
,,00101.715840,A6_21,9,0.04472
,,00101.715360,A6_22,6,0.01624
,,00102.014800,A2_34,9,0.19064
,,00102.878080,B3_44,5,0.0208
,,00102.730880,A6_21,5,0.02192
,,00102.730240,A6_22,9,0.03632
,,00102.681680,B6_33,5,0.02888
,,00102.881360,B3_14,7,0.02952
,,00103.212160,A3_13,5,0.01672
,,00103.331920,A2_21,5,0.07568
,,00103.429760,B3_14,5,0.02816
,,00103.569520,A6_21,5,0.02576
,,00103.522240,A6_22,9,0.06392
,,00103.962800,A6_21,17,0.07896
,,00103.965120,A6_22,12,0.03664
,,00104.235680,B1_33,10,0.07424
,,00104.179200,B4_43,5,0.04336
,,00104.917920,C4_11,30,0.20112
,,00105.456320,D3_24,5,0.0264
,,00105.509760,B3_14,5,0.01904
,,00105.584400,B6_14,5,0.03184
,,00105.901440,A6_22,5,0.01808
,,00106.361920,A1_23,5,0.0112
,,00106.233920,B3_11,5,0.01712
,,00106.075920,B3_14,20,0.19328
,,00106.242960,B3_32,5,0.02704
,,00106.355600,A1_34,6,0.12304
,,00106.770240,A6_21,5,0.0108
,,00106.759840,A6_22,11,0.0304
,,00107.286400,A2_21,13,0.03408
,,00107.263440,A2_11,9,0.05944
,,00107.272240,A2_33,12,0.06816
,,00107.296960,A2_34,10,0.04176
,,00107.958320,A6_21,14,0.10808
,,00108.186400,B1_33,5,0.0192
,,00107.907920,A6_22,31,0.34136
,,00108.502720,A6_22,5,0.06256
,,00108.908880,B3_14,8,0.01792
,,00108.894480,A6_21,12,0.02936
,,00108.889840,A6_22,11,0.02984
,,00109.511920,B6_33,5,0.02352
,,00110.342960,B1_33,9,0.054
,,00110.342640,B1_32,6,0.0356
,,00110.349680,A3_13,5,0.01768
,,00110.248240,A6_21,6,0.01512
,,00110.243600,A6_22,10,0.02424
,,00110.403360,B4_43,11,0.0464
,,00111.547440,C3_12,6,0.05488
,,00111.375280,A6_21,12,0.05832
,,00111.374160,A6_22,15,0.06704
,,00112.025360,B6_14,7,0.05808
,,00112.011600,B6_12,5,0.07456
,,00112.025920,B6_33,7,0.04424
,,00111.964320,D1_24,43,0.2292
,,00112.298240,A3_13,9,0.02312
