Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00035.318080,D4_13,17,0.22016
,,00035.367360,D4_42,22,0.19712
,,00035.360240,D4_43,32,0.20272
,,00035.365120,D4_32,44,0.214
,,00035.811920,B3_14,12,0.038
,,00036.084000,B6_14,6,0.03456
,,00036.910080,A2_11,5,0.05064
,,00037.274160,B6_14,5,0.03288
,,00037.548720,A2_33,5,0.012
,,00037.543680,A2_34,7,0.04152
,,00037.821920,D1_33,6,0.05704
,,00037.822080,D1_24,15,0.0544
,,00037.839280,D1_21,55,0.31408
,,00037.832400,D1_31,50,0.3188
,,00037.823520,D1_42,45,0.32808
,,00038.151600,B6_14,5,0.03416
,,00039.012480,B6_14,6,0.04016
,,00039.446720,B4_11,5,0.058
,,00039.438720,B4_33,17,0.0744
,,00039.437520,B4_24,22,0.07528
,,00039.441200,B4_42,9,0.0564
,,00039.437200,B4_43,17,0.07408
,,00039.443040,B4_21,7,0.05752
,,00039.708800,C3_24,6,0.058
,,00039.910960,D3_21,8,0.09896
,,00039.905280,D3_23,5,0.01456
,,00040.265840,A3_33,5,0.0196
,,00040.307120,B6_14,6,0.03368
,,00040.259520,A3_41,16,0.27928
,,00040.273520,A3_21,25,0.2644
,,00040.245920,A3_31,26,0.29872
,,00040.222160,A3_11,26,0.31528
,,00040.225120,A3_12,45,0.31616
,,00040.226480,A3_13,70,0.32096
,,00040.269200,A3_22,43,0.27728
,,00040.274320,A3_23,12,0.2676
,,00040.225200,A3_14,65,0.31976
,,00040.237440,A3_24,68,0.3056
,,00040.230720,A3_34,36,0.30776
,,00040.268800,A3_32,42,0.27744
,,00040.236080,A3_44,73,0.37688
,,00040.234640,A3_43,71,0.36896
,,00040.649360,D1_33,9,0.10648
,,00040.651600,D1_24,5,0.01608
,,00040.659520,D1_21,51,0.2768
,,00040.664080,D1_31,46,0.27312
,,00040.651920,D1_42,46,0.27832
,,00040.999040,A2_21,12,0.03448
,,00040.997760,A2_11,13,0.03832
,,00041.002160,A2_13,13,0.04088
,,00041.003120,A2_14,12,0.04672
,,00041.002480,A2_33,15,0.04928
,,00041.002160,A2_34,16,0.05072
,,00041.001760,A2_32,15,0.04984
,,00041.005040,A2_43,6,0.0144
,,00041.006400,A2_44,7,0.02016
,,00041.002320,A2_42,5,0.01592
,,00041.190080,B6_14,5,0.03352
,,00041.830080,C1_11,12,0.03688
,,00041.828720,C1_12,6,0.02792
,,00041.836320,C1_13,8,0.03232
,,00041.838240,C1_23,10,0.02768
,,00041.841120,C1_33,5,0.02344
,,00041.719040,B6_14,5,0.01936
,,00041.828400,B6_33,9,0.1936
,,00042.290560,B3_21,26,0.15712
,,00042.299520,B3_31,36,0.1524
,,00042.349040,B3_11,8,0.09176
,,00042.290160,B3_12,31,0.158
,,00042.338560,B3_22,11,0.10248
,,00042.330960,B3_23,15,0.1144
,,00042.304400,B3_33,26,0.14288
,,00042.301760,B3_32,38,0.1456
,,00042.453760,B6_14,6,0.03304
,,00042.555680,B3_21,14,0.18776
,,00042.554880,B3_31,20,0.19384
,,00042.559520,B3_11,8,0.18176
,,00042.555920,B3_12,14,0.18904
,,00042.554640,B3_22,9,0.18192
,,00042.548480,B3_23,19,0.19728
,,00042.248640,B3_14,109,0.51248
,,00042.552080,B3_33,19,0.19192
,,00042.271360,B3_24,57,0.47064
,,00042.261440,B3_34,73,0.486
,,00042.552640,B3_32,19,0.19544
,,00042.278480,B3_43,102,0.55128
,,00042.277280,B3_44,51,0.47184
,,00042.263280,B3_42,82,0.48576
,,00042.940560,B4_33,9,0.0212
,,00042.941760,B4_24,6,0.0192
,,00042.942000,B4_42,7,0.02096
,,00042.938640,B4_43,10,0.02896
,,00042.938720,B4_44,5,0.01704
,,00043.051680,C2_11,20,0.24144
,,00043.011920,C2_14,29,0.30832
,,00043.013680,C2_34,27,0.33456
,,00043.158880,B6_14,5,0.03336
,,00043.814320,B6_14,6,0.04464
,,00044.411920,A5_14,9,0.07672
,,00044.383520,A5_13,12,0.05832
,,00044.360400,A5_21,12,0.06992
,,00044.609760,B6_14,5,0.03408
,,00044.544000,B6_33,8,0.05424
,,00044.760320,D1_24,13,0.048
,,00044.678480,B4_43,5,0.01352
,,00044.798640,C4_11,34,0.1964
,,00044.880080,C4_21,19,0.11928
,,00044.882960,C4_31,6,0.09904
,,00045.061040,B6_14,8,0.11104
,,00045.808400,D1_33,19,0.1276
,,00045.808480,D1_24,21,0.14032
,,00045.901680,D1_34,8,0.03528
,,00046.112240,D1_43,6,0.16016
,,00046.326720,B4_33,6,0.0124
,,00046.323760,B4_34,5,0.01472
,,00046.325840,B4_24,8,0.02104
,,00046.327680,B4_42,6,0.01304
,,00046.325360,B4_43,9,0.0256
,,00046.324560,B4_44,5,0.01216
,,00045.831920,D1_21,87,0.60536
,,00045.827200,D1_31,81,0.60568
,,00045.853440,D1_22,17,0.57824
,,00046.113680,D1_33,76,0.52376
,,00046.120960,D1_24,117,0.52752
,,00046.122640,D1_34,49,0.50952
,,00046.623520,D1_21,13,0.0568
,,00046.626880,D1_31,14,0.06504
,,00045.809520,D1_42,143,0.87992
,,00046.669680,A2_34,6,0.0156
,,00047.080320,B6_14,7,0.03432
,,00047.962000,B6_14,5,0.03992
,,00048.188640,A6_21,9,0.06352
,,00048.189920,A6_22,12,0.07088
,,00048.593760,A2_24,8,0.05056
,,00048.589760,A2_12,17,0.11352
,,00048.589840,A2_13,44,0.19984
,,00048.591040,A2_14,38,0.12344
,,00048.590880,A2_33,48,0.21832
,,00048.591200,A2_34,55,0.2692
,,00048.591280,A2_32,46,0.12736
,,00048.594240,A2_43,27,0.11184
,,00048.533920,A2_44,33,0.20552
,,00048.593680,A2_42,28,0.11056
,,00048.681280,B6_14,6,0.0344
,,00048.587280,A2_21,53,0.3152
,,00048.589120,A2_11,50,0.31272
,,00049.402160,B3_21,18,0.08456
,,00049.401120,B3_31,30,0.08488
,,00049.404880,B3_11,10,0.05384
,,00049.402080,B3_12,30,0.08864
,,00049.401360,B3_22,7,0.07688
,,00049.395120,B3_23,16,0.0868
,,00049.386400,B3_14,37,0.10584
,,00049.397200,B3_33,29,0.08808
,,00049.389520,B3_24,24,0.0948
,,00049.384400,B3_34,34,0.10136
,,00049.398720,B3_32,33,0.09176
,,00049.386000,B3_43,35,0.10032
,,00049.383600,B3_44,28,0.09976
,,00049.394480,B3_42,34,0.09088
,,00049.434000,B6_14,6,0.07128
,,00050.442880,A3_41,8,0.08768
,,00050.464800,A3_21,12,0.06152
,,00050.435600,A3_31,14,0.08456
,,00050.412320,A3_11,17,0.11224
,,00050.415040,A3_12,21,0.11456
,,00050.416400,A3_13,44,0.1264
,,00050.415760,A3_22,28,0.11624
,,00050.463200,A3_23,6,0.016
,,00050.417600,A3_14,39,0.12928
,,00050.427600,A3_24,38,0.10968
,,00050.419760,A3_34,25,0.10208
,,00050.461040,A3_32,25,0.07296
,,00050.424480,A3_44,42,0.11496
,,00050.424000,A3_43,39,0.11488
,,00050.561440,B6_14,6,0.03136
,,00050.768480,B4_33,6,0.01424
,,00050.768000,B4_24,6,0.0164
,,00050.765920,B4_43,7,0.02016
,,00051.452800,B6_14,5,0.03456
,,00052.713680,B6_14,5,0.03376
,,00053.263760,A2_34,5,0.06592
,,00053.090240,C3_21,12,0.07896
,,00054.312960,B4_33,11,0.0776
,,00054.312720,B4_24,21,0.0832
,,00054.314720,B4_42,8,0.06424
,,00054.311120,B4_43,8,0.076
,,00054.314480,B4_21,6,0.06408
,,00054.495440,B6_14,5,0.03352
,,00054.650560,D1_24,5,0.01464
,,00054.845280,B3_21,18,0.06944
,,00054.849840,B3_31,18,0.06064
,,00054.846800,B3_12,23,0.06312
,,00054.840960,B3_23,14,0.06384
,,00054.837760,B3_14,35,0.12568
,,00054.842720,B3_33,20,0.06672
,,00054.839920,B3_24,22,0.07832
,,00054.835200,B3_34,30,0.08112
,,00054.842960,B3_32,27,0.07888
,,00054.837280,B3_43,33,0.08392
,,00054.834480,B3_44,24,0.07984
,,00054.842320,B3_42,28,0.09
,,00055.098640,B6_14,6,0.04272
,,00055.016000,B6_33,6,0.30344
,,00055.398240,A2_21,10,0.05024
,,00055.395440,A2_33,5,0.01712
,,00056.562240,B6_14,7,0.03296
,,00057.033360,B4_33,6,0.02128
,,00057.030880,B4_24,8,0.02528
,,00057.031840,B4_43,8,0.02456
,,00057.547520,A3_41,5,0.09792
,,00057.550400,A3_23,7,0.0876
,,00057.508080,A3_14,44,0.13464
,,00057.510960,A3_34,26,0.1296
