Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,06703.099920,B6_14,5,0.06688
,,06703.106720,B6_33,8,0.07456
,,06703.106720,B6_44,5,0.06992
,,06703.516480,D4_14,7,0.1336
,,06704.223040,C1_21,6,0.08784
,,06704.224800,C1_31,7,0.08592
,,06704.227360,C1_11,21,0.098
,,06704.224640,C1_12,10,0.09448
,,06704.224800,C1_13,24,0.12032
,,06704.216000,C1_23,45,0.13184
,,06704.211040,C1_33,37,0.11216
,,06704.215680,C1_34,19,0.10944
,,06704.208800,C1_43,37,0.11584
,,06704.210320,C1_44,15,0.10856
,,06704.794000,B5_14,12,0.05312
,,06704.791280,B5_12,5,0.052
,,06704.770080,B5_13,14,0.08336
,,06704.805200,B5_44,13,0.06936
,,06704.784720,B5_21,17,0.07016
,,06708.513360,B5_21,8,0.02848
,,06709.368960,D4_14,10,0.21384
,,06709.766560,D4_14,5,0.03032
,,06713.153840,B6_33,5,0.02672
,,06713.472960,D4_14,10,0.14864
,,06713.941680,D4_14,8,0.15688
,,06714.502000,D3_21,5,0.0192
,,06715.997360,C1_21,5,0.01552
,,06716.002960,C1_11,20,0.08208
,,06715.995040,C1_12,6,0.07632
,,06715.993200,C1_13,22,0.104
,,06715.984480,C1_23,36,0.11032
,,06715.980240,C1_33,34,0.09136
,,06715.982240,C1_34,21,0.08096
,,06715.972560,C1_43,30,0.10616
,,06715.964880,C1_44,10,0.0908
,,06717.227840,B5_21,6,0.02904
,,06717.856960,D4_14,12,0.14088
,,06719.030800,C2_14,9,0.09024
,,06721.747600,C1_21,8,0.0844
,,06721.750320,C1_31,5,0.02888
,,06721.754240,C1_11,28,0.1068
,,06721.749360,C1_12,12,0.09704
,,06721.748000,C1_13,27,0.11416
,,06721.741360,C1_23,44,0.1316
,,06721.736720,C1_33,42,0.1348
,,06721.740480,C1_34,23,0.12928
,,06721.746400,C1_32,7,0.09144
,,06721.731840,C1_43,36,0.14008
,,06721.732080,C1_44,14,0.128
,,06721.743520,C1_42,5,0.01928
,,06722.239600,D3_21,5,0.01072
,,06722.403840,A4_31,5,0.07336
,,06722.611600,B6_14,7,0.0352
,,06722.610240,B6_33,5,0.0268
,,06723.165840,D4_14,7,0.0652
,,06723.467520,D4_14,8,0.084
,,06726.544880,D4_14,14,0.33872
,,06726.624480,B5_14,11,0.05064
,,06726.590160,B5_13,16,0.08512
,,06726.658080,B5_44,13,0.04248
,,06726.606320,B5_21,15,0.07104
,,06729.657520,D3_21,5,0.01152
,,06730.672640,D4_14,7,0.12704
,,06730.854720,C2_14,10,0.0612
,,06731.078400,D4_14,6,0.09408
,,06731.751440,C1_21,8,0.12152
,,06731.755600,C1_11,27,0.13592
,,06731.751360,C1_12,13,0.13048
,,06731.749600,C1_13,29,0.14632
,,06731.747200,C1_22,9,0.13264
,,06731.739680,C1_34,22,0.14584
,,06731.754640,C1_32,10,0.13016
,,06731.734560,C1_43,35,0.14832
,,06731.730160,C1_44,14,0.14648
,,06731.812640,D6_44,22,0.08184
,,06731.741680,C1_23,46,0.16488
,,06731.738720,C1_33,42,0.16536
,,06732.315840,B5_14,17,0.06648
,,06732.287280,B5_12,6,0.08384
,,06732.292320,B5_13,14,0.07624
,,06732.274960,B5_21,19,0.10224
,,06734.439920,B6_33,5,0.02648
,,06735.796160,D4_14,8,0.06856
,,06738.119840,D4_14,5,0.04112
,,06738.416480,A3_22,9,0.05808
,,06738.294320,D4_14,9,0.17104
,,06738.682640,A3_22,8,0.11176
,,06738.758800,B5_21,5,0.01064
,,06739.105200,A3_22,13,0.14248
,,06739.374080,A3_22,18,0.19128
,,06739.582320,B6_33,6,0.02416
,,06740.152160,C1_31,7,0.11416
,,06740.159360,C1_11,25,0.108
,,06740.154560,C1_12,11,0.09672
,,06740.154480,C1_13,27,0.12416
,,06740.144880,C1_23,47,0.14008
,,06740.140480,C1_33,40,0.13592
,,06740.145280,C1_34,21,0.13496
,,06740.156160,C1_32,8,0.11408
,,06740.135120,C1_43,35,0.14072
,,06740.139120,C1_44,13,0.13008
,,06740.787760,A3_22,21,0.4192
,,06742.000160,B6_14,5,0.018
,,06742.009440,B6_11,5,0.01184
,,06742.419200,D4_14,5,0.02832
,,06742.716160,D3_21,5,0.01048
,,06742.350080,A3_22,35,0.55
,,06742.804960,D4_14,10,0.1408
,,06743.125120,C2_14,10,0.04616
,,06743.122720,A3_22,21,0.35288
,,06744.034560,A3_22,17,0.1408
,,06745.543200,A4_31,17,0.2448
,,06745.695680,B6_33,5,0.02744
,,06747.217280,C1_21,9,0.10024
,,06747.217440,C1_31,8,0.10096
,,06747.221920,C1_11,25,0.11104
,,06747.218480,C1_12,12,0.10552
,,06747.217520,C1_13,26,0.1176
,,06747.209840,C1_23,49,0.13208
,,06747.204560,C1_33,41,0.13512
,,06747.206960,C1_34,24,0.1192
,,06747.200560,C1_43,38,0.14288
,,06747.196960,C1_44,12,0.11576
,,06747.142240,D3_21,5,0.01112
,,06746.991120,D4_14,14,0.356
,,06753.390960,D4_14,14,0.23576
,,06753.806080,D4_14,5,0.05792
,,06754.201680,C2_34,6,0.01408
,,06754.429040,A1_44,9,0.10824
,,06754.664800,C1_21,7,0.09464
,,06754.667360,C1_31,6,0.0896
,,06754.672320,C1_11,25,0.1132
,,06754.668080,C1_12,9,0.11144
,,06754.667520,C1_13,22,0.118
,,06754.665360,C1_22,8,0.10888
,,06754.658000,C1_23,45,0.14128
,,06754.656160,C1_33,41,0.12112
,,06754.659440,C1_34,20,0.11368
,,06754.650960,C1_43,38,0.12384
,,06754.646800,C1_44,14,0.12288
,,06755.046560,B6_11,6,0.01384
,,06756.064960,B6_33,5,0.0268
,,06756.066800,B6_44,5,0.02736
,,06756.337920,D3_21,5,0.0112
,,06756.567280,C3_21,7,0.07136
,,06756.982320,A4_31,7,0.16928
,,06757.355120,A4_31,6,0.0436
,,06758.669840,B6_11,5,0.01464
,,06758.994000,A1_44,5,0.08424
,,06758.816480,D6_44,21,0.0896
,,06759.232560,A1_44,5,0.08488
,,06759.366320,D3_21,5,0.01248
,,06759.470560,A1_44,12,0.08224
,,06759.367600,D3_33,9,0.05992
,,06759.486000,D4_14,16,0.25488
,,06760.036240,A4_31,5,0.08376
,,06760.501840,D4_14,7,0.12872
,,06762.791120,C2_34,5,0.01144
,,06764.725360,C1_21,9,0.16232
,,06764.863360,C1_31,5,0.018
,,06764.732320,C1_11,21,0.09168
,,06764.725520,C1_12,9,0.08424
,,06764.725520,C1_13,26,0.10448
,,06764.714720,C1_23,50,0.1768
,,06764.715200,C1_34,23,0.15104
,,06764.730080,C1_32,7,0.15936
,,06764.708160,C1_43,36,0.15512
,,06764.708960,C1_44,12,0.14528
,,06764.711200,C1_33,53,0.19464
,,06765.643120,D3_21,5,0.01056
,,06768.702480,D6_44,24,0.0864
,,06769.478160,D4_14,12,0.10912
,,06769.921840,D4_14,5,0.0508
,,06770.542400,B5_13,7,0.03568
,,06770.556240,B5_21,8,0.02408
,,06771.612400,C1_21,7,0.09192
,,06771.612480,C1_31,8,0.11032
,,06771.618080,C1_11,26,0.11352
,,06771.614160,C1_12,12,0.10632
,,06771.612960,C1_13,32,0.12192
,,06771.605120,C1_23,49,0.13536
,,06771.600160,C1_33,49,0.15824
,,06771.604240,C1_34,20,0.1224
,,06771.597920,C1_43,38,0.13016
,,06771.595200,C1_44,15,0.126
,,06774.139600,D3_21,5,0.01112
,,06775.046400,C2_11,6,0.01568
,,06775.048880,C2_14,8,0.05344
,,06775.814080,B5_21,5,0.01176
,,06775.661840,B6_33,5,0.02784
,,06777.052320,D4_14,12,0.11384
,,06777.389680,D4_14,7,0.12632
,,06777.978800,D3_21,7,0.0212
,,06780.250400,B5_21,5,0.01208
,,06780.607600,D4_14,7,0.07032
,,06782.777600,D4_14,6,0.09456
,,06783.033200,C1_31,5,0.01304
,,06783.043280,C1_11,25,0.10248
,,06783.036960,C1_12,11,0.09744
,,06783.036800,C1_21,12,0.15072
,,06783.035920,C1_13,26,0.11504
,,06783.025120,C1_23,51,0.16848
,,06783.020400,C1_33,55,0.17336
,,06783.025920,C1_34,27,0.16456
,,06783.041040,C1_32,7,0.15208
,,06783.014400,C1_43,42,0.17464
,,06783.012480,C1_44,18,0.17472
,,06783.333360,D3_21,5,0.0104
,,06783.021600,D4_14,13,0.19352
,,06786.951200,C2_14,7,0.0228
,,06787.067840,D4_14,7,0.12704
,,06787.191520,B6_44,6,0.01752
,,06788.989680,D3_21,5,0.0136
,,06790.612480,B5_21,9,0.02968
,,06791.455360,D4_14,8,0.11624
,,06792.129120,D3_21,5,0.01088
,,06791.913680,D4_14,6,0.06008
,,06795.410160,B6_33,6,0.02584
,,06796.360960,D4_14,10,0.13088
,,06796.722320,D3_21,6,0.01208
,,06797.407360,D4_14,7,0.11144
,,06801.190720,B5_21,9,0.0236
,,06802.903920,C1_21,7,0.1036
,,06802.897280,C1_31,7,0.10368
,,06802.908080,C1_11,22,0.06672
,,06802.900000,C1_12,9,0.0692
,,06802.899280,C1_13,21,0.08296
,,06802.889200,C1_23,39,0.1696
,,06802.884720,C1_33,50,0.1836
,,06802.888480,C1_34,24,0.16912
,,06802.905760,C1_32,9,0.06496
,,06802.881360,C1_43,43,0.18128
,,06802.883280,C1_44,12,0.17752
,,06803.741600,B6_33,5,0.02568
,,06803.740240,B6_44,6,0.04632
,,06803.919520,D4_14,5,0.02632
,,06804.161280,D4_14,8,0.11872
,,06804.569520,D4_14,11,0.20616
,,06806.072240,C2_14,6,0.07296
,,06806.844320,D3_21,5,0.01072
,,06806.985440,B6_11,5,0.01496
,,06808.319840,B5_21,6,0.02584
,,06809.211840,D4_14,13,0.20288
,,06809.610000,D4_14,5,0.0576
,,06810.580480,C1_22,5,0.01232
,,06810.375200,B5_14,13,0.03784
,,06810.361440,B5_12,5,0.05072
,,06810.362080,B5_13,15,0.04864
,,06810.362080,B5_11,7,0.0488
,,06810.378320,B5_44,10,0.0536
,,06810.342240,B5_21,18,0.0708
,,06810.584560,C1_21,8,0.0864
,,06810.585280,C1_31,10,0.07984
,,06810.590240,C1_11,23,0.06736
,,06810.585280,C1_12,6,0.08872
,,06810.583680,C1_13,18,0.07424
,,06810.575040,C1_23,44,0.1156
,,06810.570160,C1_33,40,0.15056
,,06810.573840,C1_34,21,0.1196
,,06810.583360,C1_32,5,0.08192
,,06810.566080,C1_43,34,0.1128
,,06810.568880,C1_44,12,0.10848
,,06811.518800,C3_21,6,0.06432
,,06812.874560,B6_33,5,0.02648
,,06813.671760,B5_21,8,0.02848
,,06815.132080,D4_14,9,0.10544
,,06815.751920,D3_21,5,0.01104
,,06817.220800,D6_44,24,0.08096
,,06820.181520,D4_14,14,0.2756
,,06820.826720,D4_14,5,0.06584
,,06821.426880,C2_14,9,0.0604
,,06822.357520,C3_21,6,0.06752
,,06823.181280,B6_14,5,0.0304
,,06823.179360,B6_33,6,0.02368
,,06823.181520,B6_44,5,0.01728
,,06823.744240,D3_21,5,0.0096
,,06826.035040,D4_14,10,0.22888
,,06829.662880,D4_14,12,0.20712
,,06832.680240,D3_21,5,0.0108
,,06834.414160,D4_14,11,0.232
,,06834.413920,B5_13,6,0.04496
,,06834.431200,B5_21,8,0.0336
,,06837.143200,D3_21,5,0.01096
,,06837.781120,D4_14,10,0.16024
,,06838.064240,D4_14,5,0.10072
,,06839.335440,C2_11,6,0.02176
,,06839.338240,C2_14,8,0.04272
,,06840.303680,B6_11,5,0.0144
,,06840.792560,B5_21,7,0.02968
,,06841.075360,D3_21,6,0.02128
,,06843.659920,D4_14,16,0.22104
,,06845.190480,B6_33,5,0.02664
,,06846.287680,D3_21,5,0.01032
,,06846.969920,D4_14,5,0.04048
,,06847.125040,D4_14,7,0.14024
,,06848.875840,B6_11,5,0.01144
,,06848.857760,B6_14,5,0.09176
,,06849.253120,D3_21,5,0.01144
,,06849.259520,D3_44,6,0.06816
,,06850.248320,C2_14,12,0.09568
,,06851.369120,B5_21,5,0.00984
,,06851.642160,D4_14,11,0.2436
,,06851.778800,D6_44,22,0.07936
,,06852.122240,D3_21,5,0.01144
,,06852.756160,B3_24,382,1.71864
,,06855.083040,C1_21,6,0.04728
,,06855.076000,C1_31,7,0.01808
,,06855.079760,C1_12,6,0.06048
,,06855.081120,C1_22,6,0.05824
,,06855.084800,C1_32,8,0.06392
,,06855.056080,C1_44,9,0.09384
,,06854.972160,D3_21,5,0.01112
,,06854.973920,D3_32,5,0.02968
,,06855.084640,C1_11,24,0.08704
,,06855.077920,C1_13,19,0.07352
,,06855.068000,C1_23,34,0.09584
,,06855.063280,C1_33,34,0.09384
,,06855.067200,C1_34,23,0.10392
,,06855.061280,C1_43,30,0.09304
,,06855.564560,D4_14,10,0.15968
,,06855.881600,C3_21,13,0.07184
,,06858.223360,D3_21,7,0.04232
,,06858.229040,D3_33,8,0.0876
,,06860.409600,D4_14,10,0.12888
,,06861.001520,D4_14,10,0.17248
,,06861.562000,D3_44,5,0.04176
,,06864.039600,D4_14,12,0.17936
,,06864.381280,B6_14,5,0.05848
,,06864.378960,B6_33,6,0.02568
,,06864.380080,B6_44,6,0.0264
,,06864.734480,D3_21,5,0.01152
,,06865.241920,B5_14,10,0.05888
,,06865.256320,B5_12,7,0.04032
,,06865.240960,B5_13,12,0.05512
,,06865.254960,B5_11,6,0.03992
,,06865.206560,B5_44,8,0.0904
,,06865.161600,B5_21,15,0.13896
,,06867.684000,D3_21,6,0.0152
,,06867.688240,D3_44,6,0.04848
,,06869.086240,D4_14,8,0.094
,,06869.805440,C3_31,14,0.18392
,,06870.329680,D4_14,6,0.06616
,,06871.152400,D3_21,5,0.0108
,,06872.944240,B5_14,14,0.08112
,,06872.867680,B5_13,10,0.08736
,,06872.952160,B5_44,5,0.02248
,,06872.888480,B5_21,16,0.06984
,,06872.970160,D4_14,9,0.23112
,,06875.183280,C3_21,6,0.04088
,,06876.459360,C2_14,7,0.03496
,,06877.319760,D4_14,8,0.11416
,,06877.736160,D3_21,6,0.01448
,,06877.711600,D4_14,5,0.058
,,06880.791680,C1_11,26,0.09152
,,06880.785760,C1_12,9,0.0932
,,06880.783520,C1_13,20,0.07192
,,06880.784720,C1_22,5,0.01216
,,06880.788320,C1_32,7,0.07192
,,06880.765040,C1_44,15,0.12664
,,06880.784560,C1_21,11,0.12656
,,06880.782320,C1_31,10,0.12592
,,06880.772320,C1_23,38,0.13552
,,06880.768880,C1_33,44,0.14872
,,06880.774880,C1_34,19,0.12928
,,06880.767360,C1_43,35,0.13608
,,06883.526720,D4_14,16,0.23208
,,06884.219760,B5_21,5,0.01184
,,06884.481120,D3_21,6,0.01288
,,06885.978320,D6_44,22,0.08816
,,06887.994560,B5_21,9,0.02456
,,06887.867280,D4_14,13,0.28656
,,06888.301760,D4_14,5,0.03584
,,06889.772720,D3_21,5,0.01184
,,06891.223600,C2_14,5,0.04688
,,06891.518640,D4_14,8,0.10424
,,06892.433040,B5_21,9,0.02536
,,06893.807120,B6_33,5,0.02536
,,06893.808480,B6_44,5,0.02544
,,06894.183760,D3_21,5,0.01144
,,06894.481040,B5_21,5,0.02856
,,06896.368800,D4_14,13,0.25144
,,06896.889520,D4_14,10,0.2256
,,06897.356320,B5_21,5,0.02384
,,06902.081840,B5_21,5,0.0104
,,06902.163920,D3_21,10,0.05464
,,06902.168640,D3_33,6,0.04976
,,06902.166240,D3_32,6,0.05416
,,06903.622640,B6_33,5,0.02536
,,06903.686880,D4_14,8,0.10744
,,06906.301360,D3_21,5,0.01072
,,06906.770880,C3_31,29,0.3572
,,06909.640240,D3_21,5,0.0104
,,06909.918800,D4_14,14,0.24688
,,06911.445440,B6_33,5,0.02624
,,06912.188960,C3_31,9,0.2
,,06912.422400,D3_21,6,0.01232
,,06915.679600,D3_21,6,0.01312
,,06917.054640,C2_14,11,0.08856
,,06917.196960,C1_21,8,0.07216
,,06917.190400,C1_31,6,0.01712
,,06917.202400,C1_11,24,0.09
